search_term,product_name,registration_number,manufacturer,category,pack_size,price,price_text,effective_from,scraped_at,source
Ciprofloxacin,Cinoflox Injection 400mg / 200ml Ciprofloxacin …….. 400mg (as Lactate) Cinoflox Injection 400mg / 200ml Ciprofloxacin …….. 400mg (as Lactate),089238,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,Essential Drugs,Vial,335.07,Rs 335.07,"20 Aug, 2026",2026-09-12 02:27:51,https://e.dra.gov.pk/public/price
Ciprofloxacin,Ciprofloxacin 250mg tablets Each tablet contains:- Ciprofloxacin as HCL….250mg,057488,Batala Pharmaceuticals DML: 000477,Essential Drugs,1x10's,228.77,Rs 228.77,"01 Jul, 2025",2026-09-12 02:27:51,https://e.dra.gov.pk/public/price
Ciprofloxacin,Ciprofloxacin 500mg tablets Each tablet contains:- Ciprofloxacin as HCL….500mg,057489,Batala Pharmaceuticals DML: 000477,Essential Drugs,1x10's,378.35,Rs 378.35,"01 Jul, 2025",2026-09-12 02:27:51,https://e.dra.gov.pk/public/price
Ciprofloxacin,Prolotic Otic DropsEach ml contains:Ciprofloxacin HCl e.q to Ciprofloxacin 0.3% Prolotic Otic DropsEach ml contains:Ciprofloxacin HCl e.q to Ciprofloxacin 0.3%,073452,Sante (Private) Limited DML: 000702,Essential Drugs,5ml,196.21,Rs 196.21,"27 Jul, 2026",2026-09-12 02:27:51,https://e.dra.gov.pk/public/price
Ciprofloxacin,Zeproquin 250mg TabletEach tablet contains:Ciprofloxacin HCl eq. to Ciprofloxacin………...250mg Zeproquin 250mg TabletEach tablet contains:Ciprofloxacin HCl eq. to Ciprofloxacin………...250mg,076126,Sante (Private) Limited DML: 000702,Essential Drugs,10's,268.48,Rs 268.48,"27 Jul, 2026",2026-09-12 02:27:51,https://e.dra.gov.pk/public/price
Metronidazole,Metronidazole Liquid Suspension Metronidazole 200mg,079356,Caliph Pharmaceuticals (Pvt) Ltd. DML: 000748,Essential Drugs,60ml,56.31,Rs 56.31,"24 Jun, 2026",2026-09-12 02:27:58,https://e.dra.gov.pk/public/price
Metronidazole,Metronidazole Liquid Suspension Metronidazole 200mg,079356,Caliph Pharmaceuticals (Pvt) Ltd. DML: 000748,Essential Drugs,90ml,84.46,Rs 84.46,"24 Jun, 2026",2026-09-12 02:27:58,https://e.dra.gov.pk/public/price
Metronidazole,Metronidazole Tablet 200mg Metronidazole 200mg,100957,Caliph Pharmaceuticals (Pvt) Ltd. DML: 000748,Essential Drugs,20x10's,351.93,Rs 351.93,"24 Jun, 2026",2026-09-12 02:27:58,https://e.dra.gov.pk/public/price
Metronidazole,Metronidazole Tablet 200mg Each tablet contains:Metronidazole 200mg,008909,"Popular Chemical Works Pvt Ltd., DML: 000076",Low Price Drugs,100's,267.4,Rs 267.40,"25 Aug, 2026",2026-09-12 02:27:58,https://e.dra.gov.pk/public/price
Metronidazole,Metronidazole Tablet 400mg Metronidazole 400mg,100958,Caliph Pharmaceuticals (Pvt) Ltd. DML: 000748,Essential Drugs,10x10's,263.95,Rs 263.95,"24 Jun, 2026",2026-09-12 02:27:58,https://e.dra.gov.pk/public/price
